pas;ara;
brun;aras;
lavage;arda;
lessive;arda;
après;ardeqqal;
ensuite;ardeqqal;
finalement;ardeqqal;
dans un moment;ardeqqal;
tout à l’heure;ardeqqal;
de toute façon;ardmani;
en tous les cas;ardmani;
goûter;arem;
tester;arem;
essayer;arem;
enfanter;arew;
donner des fruits - arbre -;arew;
entraver;arez;
attacher;arez;
lier;arez;
êtr;arez;
être  divulgué;anew;
se lié;anew;
entravé;anew;
être humble;anez;
se soumettre - à Dieu -;anez;
mixture pour soigner;anfalen;
mieux;anghil;
mieux vaut...;anghil;
H. courant;angi;
où;ani;
scruter;ani;
épouiller;ani;
où;anida;
aire;annaren;
champ;annaren;
frelon;arezs;
guêpe;arezs;
rêve;argit;
rêver;argu;
attendre;arju;
gros  yeux;arquqen;
yeux  globuleux;arquqen;
les garçons;arrac;
les enfants;arraw;
enfantement;arrawt;
méthode;arrayt;
écrire;aru;
porc-épic;aruy;
descendance;arwa;
progéniture;arwa;
autant que;annect;
aussi ... que;annect;
quantité;annect;
humilité;annuz;
soumission - à Dieu -;annuz;
d'où;ansi;
qui;anta;
laquelle;anta;
qui;anti;
lesquelles;anti;
qui;anwa;
lequel;anwa;
qui;anwi;
lesquels;anwi;
rythme;anya;
cadence;anya;
gémissements répétés;anza;
incessants;anza;
le nez;anzaren;
espace entre les dents;anzsa;
lui;as;
la;as;
à lui;as;
à elle;as;
venir;as;
résulter;as;
foie;asa;
latte;asara;
chevron;asara;
courage;asast;
être jaloux;asem;
être envieux;asem;
graisse animale;asemt;
leur;asen;
à eux;asen;
leur;asent;
à elles;asent;
être tranquille;aser;
fleuve;asif;
rivière;asif;
lorsque;asmi;
quand;asmi;
jour;ass;
journée;ass;
aujourd’hui;assa;
ass;assagi;
traverse de bois;assara;
chevron;assara;
latte;assara;
H. souffrance;assas;
laurier;asselt;
graisse animale;assemt;
H. nostalgie;asuf;
solitude;asuf;
petite quantité de poudre - semoule -;asus;
fils de;at;
ceux de;pl. de bab;at;
ceux qui détiennent;at;
ceux pourvus de;at;
il le frappera = a-t yewwet;at;
caméléon;ata;
trace;aterh;
marque;aterh;
chasser;atrar;
éloigner;atrar;
prendre en grippe;atrar;
langes;attalt;
enveloppe;attalt;
oubli;atut;
mot;awal;
parole;awal;
dicton;awal;
proverbe;awal;
formule de divorce;awalt;
parole;awalt;
phrase;awalt;
satiété;awant;
arriver;awedh;
parvenir;awedh;
s’en prendre à;awedh;
tirer;awek;
étirer;awek;
vous;awen;
masc.;awen;
être lent d’esprit;awen;
être pesant;monter;awen;
enclume;awent;
grosse pierre;awent;
aider;awes;
être gros;awfay;
épais;awfay;
devenir gros;awfay;
épais;awfay;
prendre;awi;
porter;awi;
emporter;awi;
supporter;awi;
fièvre;awla;
awufan : puisse..;awufan;
prends  !;ax;
mieux;axir;
préférable;axir;
ô;ay;
hé;ay;
cela;aya;
ceci;aya;
ay;ayagi;
désespoir;ayas;
attente désespérée;ayas;
neveu  par  les  femmes;ayaw;
pin;ayda;
ce que;ayen;
pourquoi;ayen;
attendre en vain;ayes;
désespérer;ayes;
perdre espoir;ayes;
épaule;ayett;
pourquoi;aygher;
propriété;ayla;
bien;ayla;
part;ayla;
les fils de;ayt;
ceux de;ayt;
esprit;ayti;
mes frères;aytma;
croissant;ayur;
valeur;azal;
figues sèches;azart;
enfler;azeg;
demain;azekka;
envoyer;azen;
avancer;azs;
être lourd;azsay;
être lent d’esprit;azsay;
poids;azseyt;
lourdeur;azseyt;
galène;azsult;
dépecer;azu;
écorcher;azu;
d’abord;azwara;
tout d’abord;azwara;
début;azwara;
commencement;azwara;
courir;azzel;
se dépêcher;azzel;
couler -eau-;azzel;
course;azzela;
écoulement;azzela;
fourche;azzert;
manivelle de moulin;azzsed;
coin métallique servant à fendre le bois ou la pierre;azzselt;
enflure;azzug;
gonflement;azzug;
usage;äadda;
habitude;äadda;
faire un serment;äahed;
promettre solennellement;äahed;
âne;äari;
sans selle (cheval);äari;
etc.;äari;
escargot;äarus;
surveiller;äass;
garder;äass;
se  moquer;:;
ridiculiser;:;
ennemi;ädaw;
inimitié;ädawt;
ventre;äebbudh;
expert;äebbwaj;
être humain;äebd;
personne;äebd;
adorer;äebed;
égaliser;äedel;
êtr;äedel;
aider;äiwen;
secourir;äiwen;
éternuer;äedhes;
tarder;äedttel;
traîner;äedttel;
crier;äeggedh;
hurler;äeggedh;
idiot;äeggun;
niais;äeggun;
obstacle;apophyse;äekkur;
hydropisie -maladie-;äella;
accrocher;äelleq;
pendre;äelleq;
suspendre;äelleq;
être accroché;äelleq;
pendu;äelleq;
